customer_id,product_id,basket_date,basket_count,label
42366585,41475073,2019-06-19,2,0
35956841,43279538,2019-06-19,2,0
26139578,31715598,2019-06-19,3,1
3262253,47880260,2019-06-19,2,0
20056678,44747002,2019-06-19,2,0
32037116,33739394,2019-06-19,2,0
17565651,46000191,2019-06-19,2,0
42079380,46881033,2019-06-19,2,0
25533477,44752779,2019-06-19,2,0
10385144,41882886,2019-06-19,2,0
5216868,8670770,2019-06-19,6,2
9036689,33914921,2019-06-19,2,0
20265792,46026447,2019-06-19,2,0
34654104,3632762,2019-06-19,2,0
31159555,33218001,2019-06-19,2,0
31733002,5941180,2019-06-18,2,0
44025439,34631629,2019-06-18,2,0
1920107,46675683,2019-06-18,2,0
13374538,33276794,2019-06-18,2,0
12434467,7445901,2019-06-18,2,0
25371082,39475547,2019-06-18,2,0
2068361,42402177,2019-06-18,2,0
28204561,39058017,2019-06-18,3,1
44417560,43864701,2019-06-18,2,0
29215183,32356464,2019-06-18,2,0
11360880,47007182,2019-06-18,2,0
22068103,35420610,2019-06-17,2,0
6056954,42522846,2019-06-17,2,0
13535048,43812675,2019-06-17,2,0
28048336,48333960,2019-06-17,2,0
7950100,42478659,2019-06-17,2,0
8928341,1197926,2019-06-17,2,0
34368983,37145767,2019-06-17,2,0
11259103,37720451,2019-06-17,2,0
31493048,38221381,2019-06-17,2,0
43213385,4131698,2019-06-17,2,0
43352582,43357885,2019-06-17,2,0
2966006,33028204,2019-06-17,2,0
3779615,51605574,2019-06-17,2,0
31616251,50615765,2019-06-17,2,0
44416693,40276068,2019-06-17,2,0
2809135,6568127,2019-06-17,2,0
520652,46455283,2019-06-17,2,0
13418756,34366102,2019-06-17,2,0
16289848,40220752,2019-06-17,2,0
23460100,6844409,2019-06-17,2,0
40411726,2129027,2019-06-17,2,0
21159636,47608896,2019-06-17,2,0
12375065,38963117,2019-06-17,2,0
3343477,50416775,2019-06-17,2,0
43569820,47019441,2019-06-17,2,0
20861832,47122587,2019-06-17,2,0
42996398,31508759,2019-06-18,2,0
14792714,37621862,2019-06-18,2,0
11257276,47007182,2019-06-17,2,0
23878579,34944273,2019-06-17,2,0
11350951,44263141,2019-06-17,2,0
42823122,49953830,2019-06-17,2,0
15335022,31294046,2019-06-17,2,0
19138173,40276011,2019-06-17,2,0
28655652,49817430,2019-06-17,2,0
1599046,32556376,2019-06-17,2,0
27450196,35008370,2019-06-17,2,0
42541854,50041873,2019-06-17,2,0
2090140,48346739,2019-06-17,2,0
43043252,33712748,2019-06-17,2,0
8917417,1068944,2019-06-17,2,0
7751651,46500920,2019-06-16,3,1
23462918,6259159,2019-06-16,2,0
44095389,33875067,2019-06-16,2,0
44364979,32942036,2019-06-16,2,0
9912477,31299289,2019-06-16,2,0
25083717,31546667,2019-06-16,3,1
20362680,46858785,2019-06-16,2,0
40228358,42723219,2019-06-16,2,0
17922308,926270,2019-06-16,2,0
27641594,33506465,2019-06-16,3,1
4749863,33354168,2019-06-16,3,1
34508812,40276068,2019-06-16,2,0
44382631,43314126,2019-06-16,2,0
10095537,47933392,2019-06-16,2,0
9567372,51821712,2019-06-17,2,0
11344926,47057070,2019-06-16,2,0
1357108,43902407,2019-06-16,2,0
9116458,49693345,2019-06-16,2,0
2499367,1263722,2019-06-16,2,0
2153897,51042056,2019-06-16,2,0
16974894,339429,2019-06-16,2,0
10918767,3257032,2019-06-16,2,0
44363986,39024454,2019-06-16,2,0
27021765,3549934,2019-06-16,2,0
33060425,34927870,2019-06-16,2,0
29196935,43864288,2019-06-16,2,0
17572286,36308101,2019-06-16,2,0
14997362,31324877,2019-06-16,2,0
34658130,50350530,2019-06-16,2,0
40934891,2565792,2019-06-16,2,0
31480906,6102908,2019-06-16,2,0
18454467,50803208,2019-06-16,2,0
3846865,3125977,2019-06-16,2,0
